TDS,pH,Turbidity,Temprature,
35,6.89,8,9.63, 2022-02-02T06:46:03
35,6.6,8,9.5, 2022-02-02T06:48:04
33,6.59,12,9.56, 2022-02-02T06:50:06
34.33333333,6.693333333,9.333333333,9.563333333,Average(point1)
35,6.56,8,9.31, 2022-02-02T06:52:08
35,6.5,10,9.06, 2022-02-02T06:54:10
35,6.57,8,9, 2022-02-02T06:56:12
35,6.543333333,8.666666667,9.123333333,Average(point2)
35,6.57,8,9, 2022-02-02T06:58:14
37,6.5,8,8.94, 2022-02-02T07:00:15
35,6.62,8,9.13, 2022-02-02T07:02:17
35.66666667,6.563333333,8,9.023333333,Average(point3)
37,6.52,8,8.88, 2022-02-02T07:04:19
35,6.49,8,9, 2022-02-02T07:06:21
37,6.54,8,9.13, 2022-02-02T07:08:23
36.33333333,6.516666667,8,9.003333333,Average(point4)
37,6.5,8,9.06, 2022-02-02T07:10:24
35,6.56,8,9.19, 2022-02-02T07:12:26
37,6.33,8,9.13, 2022-02-02T07:14:28
36.33333333,6.463333333,8,9.126666667,Average(point5)
37,6.48,8,9.13, 2022-02-02T07:16:30
37,6.51,8,9.06, 2022-02-02T07:18:32
37,6.5,8,9.13, 2022-02-02T07:20:34
37,6.496666667,8,9.106666667,outlet
35,6.58,8,9.06, 2022-02-02T07:22:35
39,6.43,8,9.19, 2022-02-02T07:24:37
37,6.5,8,9.13, 2022-02-02T07:26:39
37,6.503333333,8,9.126666667,inlet
37,6.51,8,9.06, 2022-02-02T07:28:41
37,6.5,8,9.31, 2022-02-02T07:30:43
37,6.56,8,9.19, 2022-02-02T07:32:44
37,6.523333333,8,9.186666667,Average(point8)
37,6.49,8,9.25, 2022-02-02T07:34:46
39,6.5,8,9.31, 2022-02-02T07:36:48
37,6.52,8,9.25, 2022-02-02T07:38:50
37.66666667,6.503333333,8,9.27,Average(point9)
